"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"98",98,98,98,"height4","717A - (733B + 141)",-3.076170647,0.558612804,31.07251316,-5.124976409,-1.027364884,-5.506802964,1.31e-05,"****"
"99",99,99,99,"height4","717A - ExCtrl",-0.136170647,0.683484392,30.9552595,-2.64395444,2.371613147,-0.199230075,0.892042537,"ns"
"100",100,100,100,"height4","717A - InCtrl",0.162103827,0.560259968,31.42525028,-1.890340107,2.214547761,0.289336801,0.834947448,"ns"
"101",101,101,101,"height4","(717A + 141) - 733B",2.927056763,0.558612804,31.07251316,0.878251001,4.975862525,5.239866935,2.56e-05,"****"
"102",102,102,102,"height4","(717A + 141) - (733B + 141)",-0.535,0.55696077,30.72124353,-2.580185092,1.510185092,-0.960570348,0.479260187,"ns"
"103",103,103,103,"height4","(717A + 141) - ExCtrl",2.405,0.682134846,30.72124353,-0.099829953,4.909829953,3.525695856,0.002472892,"ns"
"104",104,104,104,"height4","(717A + 141) - InCtrl",2.703274474,0.558612804,31.07251316,0.654468711,4.752080236,4.839263355,7.16e-05,"****"
"105",105,105,105,"height4","733B - (733B + 141)",-3.462056763,0.558612804,31.07251316,-5.510862525,-1.413251001,-6.197596503,2.24e-06,"****"
"106",106,106,106,"height4","733B - ExCtrl",-0.522056763,0.683484392,30.9552595,-3.029840556,1.98572703,-0.763816656,0.576552809,"ns"
"107",107,107,107,"height4","733B - InCtrl",-0.223782289,0.560259968,31.42525028,-2.276226224,1.828661645,-0.399425806,0.761509367,"ns"
"108",108,108,108,"height4","(733B + 141) - ExCtrl",2.94,0.682134846,30.72124353,0.435170047,5.444829953,4.309998261,0.000295082,"***"
"109",109,109,109,"height4","(733B + 141) - InCtrl",3.238274474,0.558612804,31.07251316,1.189468711,5.287080236,5.796992923,6.63e-06,"****"
"110",110,110,110,"height4","ExCtrl - InCtrl",0.298274474,0.683484392,30.9552595,-2.20950932,2.806058267,0.436402758,0.761509367,"ns"
"111",111,111,111,"leaf4","141 - 522",46.73308096,5.861009368,31.08262166,25.23757924,68.22858267,7.97355507,1.36e-07,"****"
"112",112,112,112,"leaf4","141 - (522 + 141)",7.283080957,5.861009368,31.08262166,-14.21242076,28.77858267,1.24263254,0.341147402,"ns"
"113",113,113,113,"leaf4","141 - 702A",47.33308096,5.861009368,31.08262166,25.83757924,68.82858267,8.075926515,1.36e-07,"****"
"114",114,114,114,"leaf4","141 - (702A + 141)",3.083080957,5.861009368,31.08262166,-18.41242076,24.57858267,0.526032423,0.828573744,"ns"
"115",115,115,115,"leaf4","141 - 717A",44.60333827,5.881165839,31.49146324,23.06307242,66.14360411,7.584098032,1.49e-07,"****"
"116",116,116,116,"leaf4","141 - (717A + 141)",17.88308096,5.861009368,31.08262166,-3.612420761,39.37858267,3.051194741,0.008224566,"ns"
"117",117,117,117,"leaf4","141 - 733B",45.2901614,5.881165839,31.49146324,23.74989555,66.83042725,7.700881533,1.36e-07,"****"
"118",118,118,118,"leaf4","141 - (733B + 141)",13.53308096,5.861009368,31.08262166,-7.962420761,35.02858267,2.309001762,0.04626031,"*"
"119",119,119,119,"leaf4","141 - ExCtrl",47.48308096,7.169993431,30.94676988,21.17478471,73.7913772,6.62247203,9.03e-07,"****"
"120",120,120,120,"leaf4","141 - InCtrl",45.43747888,5.881165839,31.49146324,23.89721303,66.97774473,7.725930559,1.36e-07,"****"
"121",121,121,121,"leaf4","522 - (522 + 141)",-39.45,5.840783337,30.67571468,-60.90098129,-17.99901871,-6.75423102,7.08e-07,"****"
"122",122,122,122,"leaf4","522 - 702A",0.6,5.840783337,30.67571468,-20.85098129,22.05098129,0.102725947,0.953522645,"ns"
"123",123,123,123,"leaf4","522 - (702A + 141)",-43.65,5.840783337,30.67571468,-65.10098129,-22.19901871,-7.47331265,1.7e-07,"****"
"124",124,124,124,"leaf4","522 - 717A",-2.12974269,5.861009368,31.08262166,-23.62524441,19.36575903,-0.363374729,0.90962372,"ns"
"125",125,125,125,"leaf4","522 - (717A + 141)",-28.85,5.840783337,30.67571468,-50.30098129,-7.399018709,-4.939405955,5.76e-05,"****"
"126",126,126,126,"leaf4","522 - 733B",-1.442919556,5.861009368,31.08262166,-22.93842127,20.05258216,-0.246189601,0.924863989,"ns"
"127",127,127,127,"leaf4","522 - (733B + 141)",-33.2,5.840783337,30.67571468,-54.65098129,-11.74901871,-5.684169072,9.07e-06,"****"
"128",128,128,128,"leaf4","522 - ExCtrl",0.75,7.153469437,30.67571468,-25.52197932,27.02197932,0.104844231,0.953522645,"ns"
"129",129,129,129,"leaf4","522 - InCtrl",-1.295602079,5.861009368,31.08262166,-22.7911038,20.19989964,-0.221054429,0.927699357,"ns"
"130",130,130,130,"leaf4","(522 + 141) - 702A",40.05,5.840783337,30.67571468,18.59901871,61.50098129,6.856956968,5.81e-07,"****"
"131",131,131,131,"leaf4","(522 + 141) - (702A + 141)",-4.2,5.840783337,30.67571468,-25.65098129,17.25098129,-0.71908163,0.673444164,"ns"
"132",132,132,132,"leaf4","(522 + 141) - 717A",37.32025731,5.861009368,31.08262166,15.82475559,58.81575903,6.367547801,1.47e-06,"****"
"133",133,133,133,"leaf4","(522 + 141) - (717A + 141)",10.6,5.840783337,30.67571468,-10.85098129,32.05098129,1.814825065,0.128345192,"ns"
"134",134,134,134,"leaf4","(522 + 141) - 733B",38.00708044,5.861009368,31.08262166,16.51157873,59.50258216,6.484732929,1.13e-06,"****"
"135",135,135,135,"leaf4","(522 + 141) - (733B + 141)",6.25,5.840783337,30.67571468,-15.20098129,27.70098129,1.070061949,0.435450211,"ns"
"136",136,136,136,"leaf4","(522 + 141) - ExCtrl",40.2,7.153469437,30.67571468,13.92802068,66.47197932,5.619650766,1.03e-05,"****"
"137",137,137,137,"leaf4","(522 + 141) - InCtrl",38.15439792,5.861009368,31.08262166,16.6588962,59.64989964,6.509868101,1.13e-06,"****"
"138",138,138,138,"leaf4","702A - (702A + 141)",-44.25,5.840783337,30.67571468,-65.70098129,-22.79901871,-7.576038597,1.51e-07,"****"
"139",139,139,139,"leaf4","702A - 717A",-2.72974269,5.861009368,31.08262166,-24.22524441,18.76575903,-0.465746174,0.864766881,"ns"
"140",140,140,140,"leaf4","702A - (717A + 141)",-29.45,5.840783337,30.67571468,-50.90098129,-7.999018709,-5.042131902,4.48e-05,"****"
"141",141,141,141,"leaf4","702A - 733B",-2.042919556,5.861009368,31.08262166,-23.53842127,19.45258216,-0.348561046,0.90962372,"ns"
"142",142,142,142,"leaf4","702A - (733B + 141)",-33.8,5.840783337,30.67571468,-55.25098129,-12.34901871,-5.786895019,7.15e-06,"****"
"143",143,143,143,"leaf4","702A - ExCtrl",0.15,7.153469437,30.67571468,-26.12197932,26.42197932,0.020968846,0.983406311,"ns"
"144",144,144,144,"leaf4","702A - InCtrl",-1.895602079,5.861009368,31.08262166,-23.3911038,19.59989964,-0.323425874,0.90962372,"ns"
"145",145,145,145,"leaf4","(702A + 141) - 717A",41.52025731,5.861009368,31.08262166,20.02475559,63.01575903,7.084147918,3.18e-07,"****"
"146",146,146,146,"leaf4","(702A + 141) - (717A + 141)",14.8,5.840783337,30.67571468,-6.650981291,36.25098129,2.533906695,0.028548094,"*"
"147",147,147,147,"leaf4","(702A + 141) - 733B",42.20708044,5.861009368,31.08262166,20.71157873,63.70258216,7.201333046,2.56e-07,"****"
"148",148,148,148,"leaf4","(702A + 141) - (733B + 141)",10.45,5.840783337,30.67571468,-11.00098129,31.90098129,1.789143578,0.131168436,"ns"
"149",149,149,149,"leaf4","(702A + 141) - ExCtrl",44.4,7.153469437,30.67571468,18.12802068,70.67197932,6.206778458,2.31e-06,"****"
"150",150,150,150,"leaf4","(702A + 141) - InCtrl",42.35439792,5.861009368,31.08262166,20.8588962,63.84989964,7.226468218,2.56e-07,"****"
"151",151,151,151,"leaf4","717A - (717A + 141)",-26.72025731,5.861009368,31.08262166,-48.21575903,-5.224755592,-4.5589856,0.000142847,"***"
"152",152,152,152,"leaf4","717A - 733B",0.686823135,5.881165839,31.49146324,-20.85344271,22.22708898,0.116783501,0.953522645,"ns"
"153",153,153,153,"leaf4","717A - (733B + 141)",-31.07025731,5.861009368,31.08262166,-52.56575903,-9.574755592,-5.301178579,2.15e-05,"****"
"154",154,154,154,"leaf4","717A - ExCtrl",2.87974269,7.169993431,30.94676988,-23.42855355,29.18803893,0.401638121,0.904502032,"ns"
"155",155,155,155,"leaf4","717A - InCtrl",0.834140611,5.881165839,31.49146324,-20.70612524,22.37440646,0.141832527,0.953522645,"ns"
